,id,image_id,caption,Translate
0,500,318556,A very clean and well decorated empty bathroom,حمام خالی بسیار تمیز و به خوبی تزئین شده
1,501,116100,A panoramic view of a kitchen and all of its appliances.,یک نمای پانوراما از یک آشپزخانه و لوازم آن است.
2,502,318556,A blue and white bathroom with butterfly themed wall tiles.,حمام آبی و سفید با پروانه کاشی دیوار مضمون.
3,503,116100,A panoramic photo of a kitchen and dining room,یک عکس پانورامایی از یک اتاق آشپزخانه و ناهار خوری
4,504,379340,A graffiti-ed stop sign across the street from a red car ,علامت توقف گرافیتی اد سراسر خیابان را از یک ماشین قرمز
5,505,379340,A vandalized stop sign and a red beetle on the road,علامت توقف تخریب و یک سوسک قرمز در جاده
6,506,318556,A bathroom with a border of butterflies and blue paint on the walls above it.,حمام با یک مرز از پروانه ها و رنگ آبی بر روی دیوار بالای آن است.
7,507,318556,An angled view of a beautifully decorated bathroom.,دیدگاه از حمام زیبایی تزئین زاویه دار.
8,508,134754,The two people are walking down the beach.,دو نفر در حال قدم زدن در ساحل.
9,509,538480,A sink and a toilet inside a small bathroom.,سینک و توالت داخل یک حمام کوچک است.
10,510,476220,An empty kitchen with white and black appliances.,آشپزخانه خالی با لوازم سفید و سیاه و سفید.
11,511,299675,A white square kitchen with tile floor that needs repairs ,آشپزخانه مربع سفید با کف کاشی که نیاز به تعمیر
12,512,32275,The vanity contains two sinks with a towel for each.,غرور شامل دو غرق با یک حوله برای هر.
13,513,302443,Several metal balls sit in the sand near a group of people.,چند توپ فلزی در شن و ماسه نشسته در نزدیکی یک گروه از مردم است.
14,514,134754,Two people carrying surf boards on a beach.,دو نفر حمل تخته گشت و گذار در ساحل.
15,515,25470,"A kitchen with brown cabinets, tile backsplash, and grey counters.",یک آشپزخانه با کابینت قهوه ای، کاشی تخته سنگ آکواریوم، و شمارنده خاکستری است.
16,516,513461,"A surfer, a woman, and a child walk on the beach.",یک SURFER، یک زن و یک پیاده روی کودک در ساحل.
17,517,18691,A few people sit on a dim transportation system. ,چند نفر بر روی یک سیستم حمل و نقل کم نور بنشیند.
18,518,285579,"A person, protected from the rain by their umbrella, walks down the road.",یک فرد، محافظت از باران چتر خود، پیاده روی پایین جاده.
19,519,266366,The bathroom with a toilet has an interesting sink.,حمام با سرویس بهداشتی دارای سینک جالب است.
20,520,226658,"Two women preparing food in a kitchen, one at the sink and one at the table",دو زن آماده کردن غذا در آشپزخانه، یکی در سینک و یکی در جدول
21,521,299675,A white kitchen in a home with the light on.,آشپزخانه سفید در یک خانه با نور در.
22,522,124567,A cat stuck in a car with a slightly opened window.,گربه در یک ماشین با یک پنجره کمی باز گیر کرده است.
23,523,293605,Two bicycles and a woman walking in front of a shop,دو دوچرخه و یک پیاده روی زن در مقابل یک فروشگاه
24,524,321194,Green tiled backsplash highlighted by low overhead lighting.,backsplash کاشی رنگ سبز مشخص شده توسط روشنایی سربار کم.
25,525,479495,A bicycle is parked by a bench at night.,یک دوچرخه است که توسط یک نیمکت در شب پارک شده است.
26,526,539984,A brown horse is grazing grass near a red house.,اسب قهوه ای است چرا چمن در نزدیکی خانه قرمز.
27,527,28231,A black car is near someone riding a bike.,ماشین سیاه و سفید کسی در نزدیکی دوچرخه سواری است.
28,528,538480,White pedestal sink and toilet located in a poorly lit bathroom.,سینک پایه سفید و توالت واقع در حمام کم نور.
29,529,350235,This is a pick-up game of shirts and skins basketball,این یک بازی وانت از پیراهن ها و پوسته های بسکتبال است
30,530,314265,"A toilet, sink, bathtub with shower, mirror and cabinet
",توالت، سینک، وان حمام با دوش، آینه و کابینت
31,531,389006,A kitchen with a countertop that includes an Apple phone.,یک آشپزخانه با یک آشپزخانه که شامل یک گوشی اپل.
32,532,134754,Two teenagers at a white sanded beach with surfboards.,دو نوجوان در ساحل سمباده سفید با تخته موج سواری.
33,533,31813,A surfer riding his bike to the beach.,یک SURFER سوار دوچرخه خود را به ساحل.
34,534,538480,Clean indoor bathroom with tiled floor and good lighting.,حمام در محیط داخلی تمیز با طبقه کاشی کاری و نورپردازی خوب.
35,535,465049,A closeup of a red fire hydrant including the chains.,یک نزدیک از شیر آتش نشانی آتش قرمز از جمله زنجیر.
36,536,360334,A man standing in the kitchen with his arms crossed,مردی ایستاده در آشپزخانه با اسلحه خود عبور
37,537,524679,A purple bus and a man dressed as a nun on a tall bicycle.,اتوبوس بنفش و یک مرد با لباس به عنوان یک راهبه بر روی یک دوچرخه بلند.
38,538,279672,An herb that is in front of a toaster oven.,شاخ و برگ گیاهان است که در مقابل یک توستر.
39,539,385716,Lady carrying a purse walking along side a man.,بانوی حمل راه رفتن کیف پول در کنار یک مرد است.
40,540,44816,Clean bathroom that is brightly colored and has a window,حمام و تمیز است که رنگ روشن و دارای یک پنجره
41,541,116100,A wide angle view of the kitchen work area,نمایی زاویه گسترده ای از محل کار آشپزخانه
42,542,302443,People standing around many silver round balls on the ground.,مردم ایستاده در اطراف بسیاری از نقره توپ دور بر روی زمین.
43,543,360306,A man working at a kitchen counter in a room illuminated by sunlight.,یک مرد کار در یک شمارنده آشپزخانه در یک اتاق روشن شده توسط نور خورشید است.
44,544,122802,A man standing in a kitchen with granite countertops.,مرد ایستاده در یک آشپزخانه با کانتر گرانیت.
45,545,539984,A skinny horse is grazing in a field.,اسب لاغر است چرا در این زمینه است.
46,546,28231,A person on a bicycle is riding in front of a car.  ,یک فرد بر روی یک دوچرخه سوار در مقابل یک ماشین.
47,547,515040,Seagulls flying overhead while trucks sit in a parking lot.,مرغ دریایی پرواز در بالای سر در حالی که کامیون در پارکینگ نشستن.
48,548,299675,"A kitchen with a tile floor has cabinets with no doors, a dishwasher, a sink, and a refrigerator.",یک آشپزخانه با یک کف کاشی و دارای کابینت با درب، ماشین ظرفشویی، سینک، یخچال و فریزر.
49,549,161657,A modern bathroom contains many glass and tile pieces,یک حمام مدرن شامل بسیاری از قطعات شیشه و کاشی
50,550,266366,A demonstration of a well maintained hotel bathroom,نمایشی از یک حمام هتل به خوبی حفظ شده
51,551,72704,A black cat making an angry face while sitting on the bathroom floor ,گربه سیاه و سفید ساخت یک چهره عصبانی در حالی که نشسته در کف حمام
52,552,266366,"A clean, mediocre motel bathroom with a nice sink.",تمیز، حمام متل متوسط ​​با یک سینک خوب است.
53,553,321194,A kitchen counter is illuminated by a hood light,آشپزخانه ضد است نور هود روشن
54,554,385716,A city sidewalk is lined with lamp posts,یک پیاده رو شهرستان با پست لامپ اندود
55,555,28149,A bathroom with a TV near the mirror,حمام با یک تلویزیون در نزدیکی آینه
56,556,257263,A public restroom toilet has been photographed in sepia,توالت سرویس بهداشتی عمومی شده است در قهوه ای عکس
57,557,520049,Photo of a man riding an old styled bicycle near what appears to be the Golden Gate Bridge.,عکس از یک مرد سوار یک دوچرخه به سبک قدیمی در نزدیکی چه به نظر می رسد پل گلدن گیت.
58,558,124567,A cat peeking out a car window that is rolled down,گربه peeking خارج یک پنجره ماشین است که نورد پایین
59,559,503598,There is some pet food in the floor in an empty kitchen,برخی از مواد غذایی حیوان خانگی در زمین وجود دارد در آشپزخانه خالی
60,560,230843,A young boy surfing  in low waves.,یک پسر جوان گشت و گذار در امواج کم است.
61,561,231029,The top of a kitchen cabinet covered with brass pots and pans.,بالای کابینت آشپزخانه با گلدان و تابه برنج پوشانده شده است.
62,562,174028,A woman is shaving her face while sitting on a wooden bench.,یک زن تراشیدن صورت او در حالی که نشسته روی نیمکت های چوبی.
63,563,480489,The sky is full of colorful kites along a mountain.,آسمان پر از بادبادک رنگارنگ در امتداد یک کوه است.
